QUOTE_UNIXTIME, QUOTE_READTIME, QUOTE_DATE, QUOTE_TIME_HOURS, UNDERLYING_LAST, EXPIRE_DATE, EXPIRE_UNIX, DTE, C_DELTA, C_GAMMA, C_VEGA, C_THETA, C_RHO, C_IV, C_VOLUME, C_LAST, C_SIZE, C_BID, C_ASK, STRIKE, P_BID, P_ASK, P_SIZE, P_LAST, P_DELTA, P_GAMMA, P_VEGA, P_THETA, P_RHO, P_IV, P_VOLUME, STRIKE_DISTANCE, STRIKE_DISTANCE_PCT
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.036740, , 1.000000, 43.300000, 10 x 10, 42.940000, 43.510000, 280.000000, 0.040000, 0.050000, 251 x 225, 0.050000, -0.008150, 0.001150, 0.007930, -0.035800, -0.000310, 0.536790, 479.000000, 43.600000, 0.135000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.036930, , 8.000000, 33.160000, 10 x 10, 39.070000, 39.590000, 284.000000, 0.070000, 0.080000, 682 x 675, 0.060000, -0.011370, 0.001580, 0.011240, -0.046970, -0.000910, 0.509900, 41.000000, 39.600000, 0.122000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.036920, , 0.000000, 31.690000, 10 x 10, 38.040000, 38.590000, 285.000000, 0.070000, 0.080000, 885 x 42, 0.080000, -0.011250, 0.001660, 0.011100, -0.046150, -0.000920, 0.498440, 131.000000, 38.600000, 0.119000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, -0.000140, 0.037450, , 1.000000, 37.700000, 10 x 10, 37.170000, 37.620000, 286.000000, 0.080000, 0.090000, 801 x 680, 0.080000, -0.013160, 0.001890, 0.012120, -0.052190, -0.001020, 0.494540, 143.000000, 37.600000, 0.116000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.037260, , 1.000000, 46.820000, 10 x 10, 36.230000, 36.550000, 287.000000, 0.090000, 0.110000, 250 x 722, 0.080000, -0.014690, 0.002050, 0.014020, -0.056880, -0.001090, 0.489280, 15.000000, 36.600000, 0.113000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.037540, , 11.000000, 35.220000, 10 x 40, 35.650000, 36.110000, 287.500000, 0.090000, 0.100000, 1230 x 132, 0.110000, -0.014350, 0.002100, 0.013750, -0.056250, -0.000370, 0.483810, 3.000000, 36.100000, 0.112000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, -0.000030, 0.037700, , 16.000000, 31.670000, 20 x 10, 35.270000, 35.470000, 288.000000, 0.100000, 0.110000, 776 x 976, 0.080000, -0.015670, 0.002220, 0.013960, -0.059280, -0.000900, 0.481060, 8.000000, 35.600000, 0.110000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.037750, , 1.000000, 25.730000, 20 x 20, 34.180000, 34.630000, 289.000000, 0.100000, 0.100000, 1050 x 18, 0.100000, -0.016770, 0.002420, 0.014930, -0.061120, -0.000910, 0.472210, 89.000000, 34.600000, 0.107000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.037980, , 51.000000, 33.460000, 10 x 20, 33.180000, 33.710000, 290.000000, 0.110000, 0.120000, 17 x 746, 0.110000, -0.018490, 0.002600, 0.016190, -0.066710, -0.000750, 0.465680, , 33.600000, 0.104000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, -0.000190, 0.038000, , 0.000000, 24.310000, 10 x 10, 32.260000, 32.570000, 291.000000, 0.130000, 0.140000, 131 x 865, 0.120000, -0.019540, 0.002810, 0.017920, -0.071440, -0.000480, 0.459070, 72.000000, 32.600000, 0.101000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.038010, , 17.000000, 29.970000, 38 x 10, 31.340000, 31.510000, 292.000000, 0.120000, 0.140000, 132 x 641, 0.110000, -0.021870, 0.003120, 0.019290, -0.075270, -0.001260, 0.451550, 36.000000, 31.600000, 0.098000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 0.981180, 0.002880, 0.016990, -0.063080, 0.037390, 0.430940, 3.000000, 28.900000, 120 x 20, 31.050000, 31.350000, 292.500000, 0.120000, 0.150000, 767 x 1022, 0.130000, -0.022720, 0.003190, 0.019980, -0.077850, -0.001310, 0.447740, 463.000000, 31.100000, 0.096000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.037510, , 0.000000, 24.790000, 125 x 125, 30.270000, 30.690000, 293.000000, 0.150000, 0.150000, 70 x 145, 0.120000, -0.023110, 0.003370, 0.020320, -0.079560, -0.000990, 0.443600, 147.000000, 30.600000, 0.095000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.038220, , 2.000000, 40.090000, 10 x 20, 29.340000, 29.510000, 294.000000, 0.150000, 0.160000, 615 x 157, 0.160000, -0.025540, 0.003620, 0.021480, -0.083670, -0.000860, 0.436380, , 29.600000, 0.091000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, -0.000180, 0.038240, , 5.000000, 28.070000, 10 x 20, 28.370000, 28.560000, 295.000000, 0.160000, 0.170000, 33 x 175, 0.150000, -0.027100, 0.003970, 0.023190, -0.088690, -0.001570, 0.427170, , 28.600000, 0.088000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.037920, , 38.000000, 27.190000, 8 x 1, 27.340000, 27.540000, 296.000000, 0.180000, 0.200000, 727 x 979, 0.170000, -0.030490, 0.004410, 0.025290, -0.099230, -0.001680, 0.424010, 136.000000, 27.600000, 0.085000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, -0.000300, 0.038350, , 1.000000, 22.530000, 56 x 14, 26.340000, 26.500000, 297.000000, 0.220000, 0.230000, 250 x 1497, 0.180000, -0.034640, 0.004930, 0.028670, -0.109220, -0.001590, 0.420500, 224.000000, 26.600000, 0.082000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.038460, , 0.000000, 20.740000, 10 x 38, 25.860000, 26.020000, 297.500000, 0.200000, 0.210000, 56 x 142, 0.190000, -0.033490, 0.005010, 0.028200, -0.104260, -0.001930, 0.409860, 357.000000, 26.100000, 0.081000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, -0.000370, 0.038140, , 0.000000, 19.060000, 10 x 27, 25.430000, 25.590000, 298.000000, 0.200000, 0.230000, 321 x 69, 0.200000, -0.036420, 0.005300, 0.029340, -0.110170, -0.001090, 0.408320, 71.000000, 25.600000, 0.079000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.038300, , 0.000000, 19.450000, 92 x 38, 24.370000, 24.530000, 299.000000, 0.240000, 0.260000, 250 x 1100, 0.230000, -0.041590, 0.005930, 0.032710, -0.123570, -0.001320, 0.405970, , 24.600000, 0.076000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, -0.000140, 0.038370, 0.000410, 75.000000, 23.600000, 10 x 66, 23.520000, 23.670000, 300.000000, 0.260000, 0.270000, 728 x 13, 0.250000, -0.044150, 0.006380, 0.034350, -0.127230, -0.001430, 0.394930, , 23.600000, 0.073000
